,序列,书名,作者,仙草,粮草,干草,枯草,毒草
5420,12020,燃钢之魂,阴天神隐,16,3,1,0,0
5421,12021,秦吏,七月新番,59,2,0,1,4
5422,12022,某美漫的特工,米一克,3,1,1,0,4
5423,12023,间谍的战争,如水意,14,0,0,0,4
5424,12024,史上最强赘婿,沉默的糕点,137,11,15,10,303
5425,12025,神话烘炉,雪满林中,75,5,7,5,19
5426,12026,民调局异闻录之勉传,耳东水寿,6,1,1,0,2
5427,12027,重生支配者,历史里吹吹风,7,0,0,0,2
5428,12028,文骚,泥白佛,7,0,0,0,3
5429,12029,次元论坛,绅士东,3,6,0,0,3
5430,12030,晚钟教会,狂猎,11,0,0,0,0
5431,12031,汉祚高门,衣冠正伦,200,20,7,7,81
5432,12032,化身二次元萌妹,镜湖月下,2,0,0,0,2
5433,12033,革命吧女神,草上匪,4,0,0,0,1
5434,12034,通天神捕,狗狍子,67,3,7,4,45
5435,12035,我只想当一个安静的学霸,术小城,8,0,0,0,2
5436,12036,宠物天王,皆破,9,0,1,0,0
5437,12037,网游之神王法则,凌虚月影,2,3,0,0,1
5438,12038,宠物小精灵之庭树,轻泉流响,9,2,0,1,0
5439,12039,美漫生存指南,我在村口烫头,6,0,0,1,5
5440,12040,深夜书屋,纯洁滴小龙,82,3,3,1,14
5441,12042,民国奇人,南无袈裟理科佛,2,0,0,0,1
5442,12043,都市圣医,番茄,3,1,0,0,5
5443,12044,绝世药神,风一色,5,0,2,0,1
5444,12045,明日传奇,兔来割草,11,0,0,0,1
5445,12046,如意小郎君,荣小荣,28,4,0,0,6
5446,12047,民国奇人,南无袈裟理科佛,6,0,0,0,0
5447,12048,诡神冢,焚天孔雀,4,2,0,0,0
5448,12049,我的时空旅舍,金色茉莉花,17,3,0,0,1
5449,12050,牧神记,宅猪,216,16,12,13,85
5450,12051,重回80当大佬,浙东匹夫,7,0,0,1,2
5451,12052,重生之最强人生,俊秀才,14,1,1,1,3
5452,12053,降临诸天,三丈红尘,5,0,0,1,5
5453,12054,剑中仙,高慕遥,12,0,1,0,3
5454,12055,时尚大佬,无双之国士,2,0,0,0,3
5455,12057,一品道门,第九天命,5,0,0,0,10
5456,12058,神豪无极限,偷名,2,0,0,0,1
5457,12059,革宋,绯红之月,16,0,0,1,1
5458,12060,荒原闲农,醛石,9,3,0,1,1
5459,12061,国产英雄(我的邻居是女妖),傲无常,28,3,2,1,3
5460,12062,环城术士,黑袍雷斯林,140,10,10,7,38
5461,12063,幻想世界大穿越,辰一十一,151,9,8,3,58
5462,12064,我可以无限升级,针虾,11,3,0,2,39
5463,12065,铁十字,月影梧桐,42,8,5,5,94
5464,12066,万界自由佣兵,秀山大飞,9,2,0,2,77
5465,12067,修罗帝尊,孤单地飞,6,1,3,1,39
5466,12068,崛起复苏时代,极地风刃,23,4,2,2,15
5467,12069,天道图书馆,横扫天涯,50,6,10,6,89
5468,12070,光头武僧在都市,易伤秋者,11,2,2,0,5
5469,12071,我不想逆天啊,新丰,25,1,4,4,64
5470,12072,我的身体有bug,不是浮云,22,5,4,6,58
5471,12073,诸天投影,裴屠狗,49,4,2,3,29
5472,12074,战国之平手物语,落木寂无声,15,4,1,2,61
5473,12075,钻石王牌之投手归来,飞熊骑士,1,1,0,0,8
5474,12076,绿茵峥嵘,林海听涛,17,3,3,3,70
