,序列,书名,作者,仙草,粮草,干草,枯草,毒草
0,1090,龙语兽修,石三,30,4,2,3,5
1,1092,龙魂剑圣,暗夜幽殇,35,8,2,2,6
2,1094,龙域,众生,74,10,5,2,15
3,1097,齐天传,楚阳冬,72,9,7,5,20
4,1098,黑魔法师,贱宗首席弟子,79,8,2,7,17
5,1100,黑暗文明,古羲,215,20,11,8,42
6,1104,黄龙真人异界游,神见,90,9,3,5,18
7,1105,鸿途记,抽刀鱼,53,7,1,1,12
8,1107,黑旗,紫钗恨,52,4,8,5,8
9,1108,黑暗帝国,无境界,45,8,6,4,13
10,1109,魔装,三生蘸酱,75,8,1,2,3
11,1115,魔运苍茫,瑞根,84,12,3,0,6
12,1116,魔王神官和勇者美少女Ⅰ+Ⅱ+Ⅲ,肥面包,621,15,19,18,41
13,1119,魔葫,宝石猫,55,6,2,7,11
14,1134,魔剑录,残月悲梦,41,7,0,3,17
15,1135,魔机传说,铅笔刀,58,9,2,2,10
16,1136,魔兽之最终召唤,Best Man,67,7,4,5,13
17,1137,魔兽多塔之异世风云(多塔界),薛定谔牛(蚕茧里的牛),100,11,4,7,25
18,1138,都市少帅,一起成功,101,7,4,7,50
19,1149,官神(问鼎),何常在,357,21,16,18,36
20,1150,风魔,长风,72,10,15,7,43
21,1152,我的美女老师,黑夜de白羊,264,10,12,13,43
22,1153,仙逆,耳根,1658,64,42,71,132
23,1154,随身带着异形王后,龙青衫,145,15,9,7,30
24,1165,末日蟑螂,伟岸蟑螂,684,26,17,24,67
25,1166,1895淘金国度,简牍,73,12,5,10,23
26,1167,杀手房东俏房客,老施,122,22,6,13,40
27,1168,影城大亨,镔铁,66,10,11,9,24
28,1169,道,食堂包子,163,12,7,12,14
29,1180,财色,叨狼,156,13,4,3,16
30,1181,邪影本纪,邪影,208,13,8,5,21
31,1182,都市雷行,加烟儒相,45,7,3,6,12
32,1184,天生神医,了了一生,95,16,3,0,17
33,1185,神霄煞仙,半块铜板,89,11,5,3,16
34,1194,官居一品,三戒大师,599,26,15,43,38
35,1195,极品太子爷,浮沉,210,17,5,14,35
36,1196,网游之天下无双,失落叶,336,12,15,14,35
37,1197,永生,梦入神机,475,27,22,23,49
38,1198,杀神,逆苍天,379,26,16,20,54
39,1207,斗破苍穹,天蚕土豆,1470,96,77,111,370
40,1208,武逆乾坤,属龙语,91,20,8,8,26
41,1209,圣王,梦入神机,259,24,15,16,35
42,1210,超级兵王,明朝无酒,81,15,4,5,25
43,1211,长生不死,观棋,508,26,12,15,42
44,1218,湛蓝徽章,Deathstate,295,24,10,12,26
45,1219,吞噬星空,我吃西红柿,1185,45,28,35,106
46,1220,刺明,拉丁海十三郎,52,9,5,3,34
47,1221,网游之纵横天下,失落叶,362,16,12,15,31
48,1222,掌权者,一三五七九,71,14,6,8,11
49,1223,江山美人志,瑞根,191,12,10,12,13
50,1224,武神,苍天白鹤,262,12,10,11,32
51,1230,药鼎仙途,寒香寂寞,65,9,4,5,13
52,1231,法相仙途,泛东流,180,11,5,12,14
53,1232,少女契约之书,放开那只女王,277,18,9,12,62
54,1234,1908远东狂人,丹丘,157,24,9,15,25
55,1246,化星,青翼蝠王,54,8,2,2,12
56,1249,功夫神医,步行天下,55,8,6,9,22
57,1250,天才医生,柳下挥,414,14,19,28,32
58,1253,坏蛋是怎样炼成的Ⅰ,六道,197,14,9,13,104
59,1254,坏蛋是怎样炼成的Ⅱ,六道,176,22,10,9,67
60,1255,异界流氓天尊,狂奔的蜗牛,89,6,14,9,65
61,1264,重启家园,九头猫怪,218,12,10,9,36
62,1265,布衣官道,寂寞读南华,177,18,9,15,24
63,1266,君临,开荒,173,18,12,8,28
64,1267,超级黄金手,小小羽,118,8,7,7,15
65,1268,重生之官路商途,更俗,712,43,13,35,62
66,1269,异世邪君,风凌天下,588,35,21,32,55
67,1270,异世药神,暗魔师,77,9,5,6,14
68,1271,满愿石,扎姆卡特,60,7,4,7,9
69,1279,星际游轮,古剑锋,191,10,5,6,14
70,1280,枭臣,更俗,207,20,14,14,25
71,1281,百度宅男当崇祯,云和山的此端,61,10,6,9,31
72,1282,少年药王,逐没,58,7,1,7,17
73,1283,异界职业玩家,涂章溢,64,9,10,9,58
74,1284,万妖之祖,孤独漂流,288,9,11,17,30
75,1292,草清,草上匪,387,14,11,11,20
76,1293,仙戮佛屠,流动的枫叶,36,9,4,0,12
77,1294,权倾一世,晨光路西法,30,5,2,6,53
78,1295,九界独尊,兵心一片,40,3,1,1,13
79,1296,江山美色(极品马贼),墨武,310,13,12,9,33
80,1299,偷天,血红,186,11,10,14,32
81,1300,护花高手在都市,心在流浪,149,8,1,9,26
82,1301,王牌进化,卷土,857,28,22,37,70
83,1302,冒牌大英雄,七十二编,739,19,11,16,28
84,1304,独占星光,脑袋空空如也,45,6,5,2,32
85,1305,武动乾坤,天蚕土豆,594,44,30,41,124
86,1306,星际判官,古剑锋,97,16,4,10,17
87,1307,网游之金庸奇侠传,云天明,64,6,8,13,55
88,1308,仙鸿路,快餐店,110,13,4,5,21
89,1313,权臣,沙漠,198,12,10,14,17
90,1314,网游之邪龙逆天,火星引力,573,16,13,18,46
91,1315,华山仙门,秣陵别雪,83,9,7,2,10
92,1317,异界魅影逍遥,纯情犀利哥,194,13,10,9,36
93,1318,神魔养殖场,黑瞳王,257,21,10,12,30
94,1319,仙傲,雾外江山,183,14,15,16,8
95,1320,极品神医,江边傩送,35,4,3,3,23
96,1321,鸿蒙教尊,唯易永恒,46,6,3,5,24
97,1322,大周皇族,皇甫奇,312,14,9,14,21
98,1323,邪龙道,血红,112,2,0,4,17
99,1324,锦衣夜行,月关,430,17,12,9,27
100,1325,城堡之心,慎独行,135,7,5,2,22
101,1326,调教太平洋,河马散人,183,10,5,10,18
102,1327,道心种魔,娶猫的老鼠,48,5,2,6,12
103,1337,大魔王,逆苍天,297,15,25,16,33
104,1338,重生之官道,录事参军,693,26,11,29,50
105,1339,修真界败类,跃千愁,308,17,14,12,67
106,1340,异界之光脑威龙,苍天白鹤,131,7,4,5,21
107,1341,末世求生录,不冷的天堂,225,14,10,10,42
108,1342,网游之近战法师,蝴蝶蓝,393,24,10,12,32
109,1343,汉风1276,猫跳,133,12,5,8,13
110,1345,葬明,寒风拂剑,66,4,2,3,15
111,1346,重生之超级富二代,左手,62,5,3,5,74
112,1347,猎国,跳舞,228,12,7,10,24
113,1348,觅仙路,何不语,157,18,7,7,13
114,1349,天下枭雄,高月,228,21,9,17,21
115,1351,庆余年,猫腻,1386,57,42,90,110
116,1358,界皇,傲天无痕,53,6,4,8,11
117,1361,回到三国的特种狙击手,东一方,58,8,1,3,30
118,1362,大唐一品,堕落的狼崽,66,9,8,8,22
119,1363,大宋之风流才子,午后方晴,66,11,3,8,46
120,1364,步步生莲,月关,357,12,7,10,23
121,1365,仙狱,煮酒论咖啡,70,5,0,2,19
122,1366,锦衣当国,特别白,135,10,9,10,22
123,1367,恶魔法则,跳舞,507,28,16,11,45
124,1368,通天大圣,蛇吞鲸,126,12,3,10,26
125,1369,间客,猫腻,908,25,41,47,54
126,1370,印神无双,李郎憔悴,31,3,2,5,9
127,1371,灵罗戒,夜·水寒,60,3,1,5,15
128,1372,1908大军阀,闽南愚客,76,5,5,6,11
129,1374,独步天下,宅猪,291,18,10,22,30
130,1375,重生之官路浮沉,浮沉,87,10,3,4,9
131,1376,超级水晶,小小米米羊,44,5,3,6,9
132,1377,假面圣徒,么么,38,4,3,1,12
133,1378,回到明朝当王爷,月关,835,37,21,20,53
134,1379,风驭,懒鸟,71,5,2,6,10
135,1380,气冲星河,犁天,67,4,2,5,11
136,1381,官声,格鱼,72,7,4,8,13
137,1382,九天剑魔,我自我自在,38,2,2,2,8
138,1389,秒杀,萧潜,114,6,7,3,22
139,1390,九阴九阳,娶猫的老鼠,58,6,4,6,24
140,1391,超级医生,叶天南,130,10,2,3,13
141,1392,曹贼,庚新,210,14,6,12,30
142,1393,凤凰面具,蘑菇,65,14,3,4,14
143,1399,朱门风流,府天,158,13,12,9,23
144,1400,横行天下,流氓鱼儿,32,2,1,3,35
145,1401,天下,高月,213,6,6,15,13
146,1403,娇妻如云,上山打老虎额,141,6,7,8,24
147,1410,飞升之后,皇甫奇,407,21,9,17,36
148,1412,诸天十道,黯然销魂,66,3,2,3,9
149,1413,女总裁爱上我(混迹在美女如云公司),天堂羽,140,4,7,5,20
150,1415,三国之蜀汉我做主,三七开,133,12,6,14,11
151,1416,造神,苍天白鹤,76,7,2,6,12
152,1423,战天,苍天白鹤,105,9,5,9,18
153,1424,玩唐,午后方晴,51,1,2,6,12
154,1425,超级盗贼,不是浮云,152,3,3,5,9
155,1426,星海猎人,非主流神棍,64,10,8,10,9
156,1427,混沌雷修,写字板,114,8,5,9,26
157,1434,星际之亡灵帝国,苍天白鹤,169,13,5,7,17
158,1435,超级学生,公子诺,56,5,5,3,97
159,1436,超能全才,翼V龙,58,6,2,3,17
160,1437,调教初唐,晴了,246,17,9,11,25
161,1439,杀破天下,吊脚楼,27,3,2,1,20
162,1440,阳神,梦入神机,367,25,10,13,29
163,1441,虚芒,晋升,30,1,3,1,7
164,1442,都市极品风水师,白马神,58,8,0,5,10
165,1443,官道之色戒,低手寂寞,2717,86,42,45,286
166,1444,不灭剑体,十步行,96,8,5,3,10
167,1453,五行元灵,血友人生,26,2,5,3,21
168,1454,扶摇,断刃天涯,61,9,4,3,11
169,1455,重生之贼行天下,发飙的蜗牛,671,18,9,15,24
170,1456,超级黄金左手,罗晓,51,9,2,3,12
171,1457,盗宋,寒风拂剑,50,7,4,10,8
172,1458,将明,知白,111,12,6,4,15
173,1467,极品家丁,禹岩,511,27,20,18,116
174,1468,夜月血,鱼的天空,217,13,9,4,13
175,1471,超级搜鬼仪,我丑到灵魂深处,85,8,3,5,8
176,1478,琴帝,唐家三少,235,13,6,16,58
177,1479,唯我独尊,小刀锋利,66,12,5,4,13
178,1481,修真世界,方想,486,18,9,19,35
179,1482,九阴九阳之阴阳神功,娶猫的老鼠,33,3,3,6,30
180,1489,网游之战御天下,孤单地飞,148,8,7,5,16
181,1491,明朝好丈夫,上山打老虎额,95,8,10,7,14
182,1496,天才相师,打眼,304,24,5,12,23
183,1497,重修之灭仙弑神,疯颠,42,6,0,2,13
184,1498,焚鼎,欢笙潇宇,33,3,3,4,11
185,1499,红男绿女,常书欣,164,6,6,11,20
186,1500,金庸世界里的道士,萧舒,244,24,19,17,69
187,1503,绿茵锋神,龙们客,21,2,0,1,14
188,1507,冠军教父,林海听涛,151,3,1,7,19
189,1508,拯救大唐MM,霞飞双颊,210,17,11,14,36
190,1509,我是何塞,郭怒,51,4,4,2,16
191,1510,平步青云,御史大夫,28,2,1,3,26
192,1511,无极魔道,逆苍天,243,15,6,12,25
193,1516,灭运图录,爱潜水的乌贼,770,33,19,26,36
194,1517,命运天盘,水平面,83,10,6,4,10
195,1518,斗罗大陆,唐家三少,861,51,39,43,129
196,1519,神墓,辰东,797,22,18,17,58
197,1520,仙王,果核里,42,2,1,2,5
198,1522,仙魔变,无罪,255,21,11,16,21
199,1523,生肖守护神,唐家三少,173,22,5,11,58
200,1528,十方天士,逆苍天,106,14,4,9,20
201,1529,仙道求索,虫豸,181,6,7,8,23
202,1530,邪风曲,血红,204,6,3,13,18
203,1531,权柄,三戒大师,163,11,9,12,13
204,1533,异世药王,独悠,65,9,7,5,15
205,1534,史上第一掌门,冥域天使,129,23,6,8,18
206,1535,武魂,辣椒江,20,5,4,8,33
207,1542,九转混沌诀,飞哥带路,46,3,0,2,37
208,1543,纯阳真仙,EK巧克力,90,6,2,3,12
209,1544,极品天王,我本疯狂,77,5,2,2,16
210,1549,创神,无断,32,5,0,3,3
211,1551,网游之天狗吞日,寡人未婚,78,8,5,4,13
212,1552,最佳导演,机器人瓦力,187,12,2,8,21
213,1558,祸害大清,吴老狼,88,9,5,3,17
214,1559,修真小店,柳旭风,62,7,1,8,7
215,1561,机战皇,沉默的糕点,85,6,11,5,17
216,1562,超级炼丹记,十年残梦,38,6,5,6,20
217,1563,都市之空,李兴禹,78,7,2,8,22
218,1565,重生之霸道人生,隔壁小王,76,3,6,4,15
219,1566,都市之纨绔天才,九月阳光,81,8,7,5,17
220,1567,傲剑凌云,小刀锋利,930,8,4,8,33
221,1568,我的警花老婆,尼姑庵的和尚,32,4,1,7,28
222,1571,小地主,如莲如玉,137,12,5,9,16
223,1572,地球游戏场,吉风冰,213,14,7,12,21
224,1573,兑换狂人,一不小心闪了腰,107,5,5,6,77
225,1576,星辰变,我吃西红柿,381,23,12,13,26
226,1577,玄天邪尊,乌山云雨,73,7,4,3,14
227,1579,萌娘三国演义,三十二变,254,15,6,9,34
228,1580,机动风暴,骷髅精灵,310,23,12,17,37
229,1581,仙绝,石三,74,11,3,2,9
230,1585,兴唐,午后方晴,47,3,2,3,25
