,序列,书名,作者,仙草,粮草,干草,枯草,毒草
112,1347,猎国,跳舞,241,14,7,11,27
113,1348,觅仙路,何不语,170,19,7,7,15
114,1349,天下枭雄,高月,257,21,10,18,25
115,1351,庆余年,猫腻,1529,92,95,112,140
116,1358,界皇,傲天无痕,57,8,4,8,12
117,1361,回到三国的特种狙击手,东一方,58,8,1,4,31
118,1362,大唐一品,堕落的狼崽,68,9,8,8,23
119,1363,大宋之风流才子,午后方晴,69,11,4,9,48
120,1364,步步生莲,月关,382,13,7,10,24
121,1365,仙狱,煮酒论咖啡,71,5,0,2,19
122,1366,锦衣当国,特别白,142,11,9,11,23
123,1367,恶魔法则,跳舞,536,30,16,13,49
124,1368,通天大圣,蛇吞鲸,132,12,6,11,28
125,1369,间客,猫腻,968,27,42,49,60
126,1370,印神无双,李郎憔悴,32,4,3,5,11
127,1371,灵罗戒,夜·水寒,61,4,2,5,17
128,1372,1908大军阀,闽南愚客,82,5,5,6,12
129,1374,独步天下,宅猪,304,18,14,23,33
130,1375,重生之官路浮沉,浮沉,97,11,3,5,10
131,1376,超级水晶,小小米米羊,45,5,3,6,9
132,1377,假面圣徒,么么,38,4,3,1,14
133,1378,回到明朝当王爷,月关,912,40,24,23,61
134,1379,风驭,懒鸟,73,5,2,6,10
135,1380,气冲星河,犁天,71,5,5,5,12
136,1381,官声,格鱼,81,7,4,9,15
137,1382,九天剑魔,我自我自在,40,3,3,2,10
138,1389,秒杀,萧潜,125,7,7,4,22
139,1390,九阴九阳,娶猫的老鼠,60,7,4,6,24
140,1391,超级医生,叶天南,139,10,2,4,15
141,1392,曹贼,庚新,235,15,6,13,31
142,1393,凤凰面具,蘑菇,70,14,3,4,15
143,1399,朱门风流,府天,164,13,13,10,23
144,1400,横行天下,流氓鱼儿,33,2,2,4,39
145,1401,天下,高月,226,7,6,17,18
146,1403,娇妻如云,上山打老虎额,149,7,9,10,25
147,1410,飞升之后,皇甫奇,432,21,13,18,41
148,1412,诸天十道,黯然销魂,67,3,2,3,12
149,1413,女总裁爱上我(混迹在美女如云公司),天堂羽,151,4,7,5,26
150,1415,三国之蜀汉我做主,三七开,142,12,6,15,16
151,1416,造神,苍天白鹤,78,7,2,7,13
152,1423,战天,苍天白鹤,110,9,5,9,19
153,1424,玩唐,午后方晴,53,1,2,6,12
154,1425,超级盗贼,不是浮云,171,5,3,5,9
155,1426,星海猎人,非主流神棍,74,10,8,10,9
156,1427,混沌雷修,写字板,124,8,5,10,27
157,1434,星际之亡灵帝国,苍天白鹤,181,13,5,8,18
158,1435,超级学生,公子诺,59,5,5,3,104
159,1436,超能全才,翼V龙,65,6,3,3,17
160,1437,调教初唐,晴了,260,17,9,11,30
161,1439,杀破天下,吊脚楼,28,3,3,3,22
162,1440,阳神,梦入神机,399,28,11,15,33
163,1441,虚芒,晋升,32,1,3,1,7
164,1442,都市极品风水师,白马神,61,8,0,5,10
165,1443,官道之色戒,低手寂寞,2972,101,77,75,310
166,1444,不灭剑体,十步行,108,8,5,5,11
167,1453,五行元灵,血友人生,27,3,5,3,26
168,1454,扶摇,断刃天涯,65,9,4,3,11
169,1455,重生之贼行天下,发飙的蜗牛,733,20,11,18,25
170,1456,超级黄金左手,罗晓,58,9,3,3,13
171,1457,盗宋,寒风拂剑,53,7,4,10,9
172,1458,将明,知白,116,13,6,6,15
173,1467,极品家丁,禹岩,552,27,20,18,133
174,1468,夜月血,鱼的天空,229,13,11,6,15
175,1471,超级搜鬼仪,我丑到灵魂深处,91,8,3,5,11
176,1478,琴帝,唐家三少,259,13,7,16,67
177,1479,唯我独尊,小刀锋利,69,13,5,6,15
178,1481,修真世界,方想,520,19,9,19,39
179,1482,九阴九阳之阴阳神功,娶猫的老鼠,36,3,3,6,32
180,1489,网游之战御天下,孤单地飞,164,8,7,5,16
181,1491,明朝好丈夫,上山打老虎额,100,8,11,7,15
182,1496,天才相师,打眼,319,24,7,13,24
183,1497,重修之灭仙弑神,疯颠,45,7,0,3,14
184,1498,焚鼎,欢笙潇宇,34,4,3,4,12
185,1499,红男绿女,常书欣,180,6,6,11,23
186,1500,金庸世界里的道士,萧舒,269,28,21,21,79
187,1503,绿茵锋神,龙们客,22,2,0,1,16
188,1507,冠军教父,林海听涛,165,5,1,9,20
189,1508,拯救大唐MM,霞飞双颊,229,17,15,14,39
190,1509,我是何塞,郭怒,52,4,4,3,17
191,1510,平步青云,御史大夫,33,3,4,3,32
192,1511,无极魔道,逆苍天,268,16,16,16,31
193,1516,灭运图录,爱潜水的乌贼,963,66,66,66,66
194,1517,命运天盘,水平面,98,10,10,10,13
195,1518,斗罗大陆,唐家三少,922,54,47,47,151
196,1519,神墓,辰东,866,22,20,21,69
197,1520,仙王,果核里,45,3,3,3,7
198,1522,仙魔变,无罪,268,21,16,16,24
199,1523,生肖守护神,唐家三少,186,23,5,12,67
200,1528,十方天士,逆苍天,113,14,4,9,23
201,1529,仙道求索,虫豸,189,7,8,8,26
202,1530,邪风曲,血红,215,6,3,13,20
203,1531,权柄,三戒大师,173,11,9,12,16
204,1533,异世药王,独悠,72,9,7,5,20
205,1534,史上第一掌门,冥域天使,153,23,7,8,20
206,1535,武魂,辣椒江,20,5,4,8,36
207,1542,九转混沌诀,飞哥带路,49,3,0,2,40
208,1543,纯阳真仙,EK巧克力,95,6,6,5,13
209,1544,极品天王,我本疯狂,83,5,2,2,17
210,1549,创神,无断,33,5,0,3,3
211,1551,网游之天狗吞日,寡人未婚,88,9,5,4,15
212,1552,最佳导演,机器人瓦力,204,13,2,9,23
213,1558,祸害大清,吴老狼,95,9,5,3,17
214,1559,修真小店,柳旭风,63,7,1,8,7
215,1561,机战皇,沉默的糕点,87,6,11,5,18
216,1562,超级炼丹记,十年残梦,39,6,5,7,20
217,1563,都市之空,李兴禹,84,8,2,8,23
218,1565,重生之霸道人生,隔壁小王,83,3,6,6,16
219,1566,都市之纨绔天才,九月阳光,88,8,7,5,18
220,1567,傲剑凌云,小刀锋利,941,10,10,9,36
221,1568,我的警花老婆,尼姑庵的和尚,34,4,1,7,29
222,1571,小地主,如莲如玉,149,13,6,10,18
223,1572,地球游戏场,吉风冰,228,15,7,13,21
224,1573,兑换狂人,一不小心闪了腰,113,5,5,7,80
225,1576,星辰变,我吃西红柿,438,29,12,17,31
226,1577,玄天邪尊,乌山云雨,76,7,5,3,15
227,1579,萌娘三国演义,三十二变,268,16,7,9,39
228,1580,机动风暴,骷髅精灵,331,24,13,17,39
229,1581,仙绝,石三,76,11,3,2,10
230,1585,兴唐,午后方晴,49,3,2,3,28
231,1587,近身保镖,柳下挥,200,10,4,11,24
232,1588,诡电脑,奥比椰,157,7,3,7,21
233,1593,叱咤风云,高楼大厦,95,3,3,2,10
234,1594,绯闻之王,期待崛起,63,6,1,3,18
235,1595,仙界修仙,莫默,157,14,4,7,24
236,1599,无限恐怖,zhttty,1366,26,18,22,55
237,1600,超级强者,我本疯狂,59,5,2,5,11
238,1601,顺明,特别白,83,10,5,3,12
239,1602,神印王座,唐家三少,282,21,7,17,66
240,1603,长生大帝,二水化石,26,4,5,6,17
241,1604,域绝,笑险,21,2,1,1,12
242,1605,天珠变,唐家三少,268,22,14,18,72
243,1606,混乱战神,撞破南墙,89,4,4,3,13
244,1608,异世龙逍遥,撒加,76,7,3,8,23
245,1609,天生神匠,逐没,60,10,4,4,10
246,1610,狂暴连击,Deathstate,72,7,4,9,12
247,1611,体尊,汉隶,96,8,5,5,17
248,1612,符宝,曾经拥有的方向感,46,10,3,5,17
249,1613,猎天,今夕何夕,41,5,2,2,10
250,1614,星际江湖,罗霸道,82,8,8,6,7
251,1615,异世怪医,紫薇疯爆,40,3,3,2,6
252,1616,重生之心动,初恋璀璨如夏花,832,28,10,14,49
253,1617,邪神传说,云天空,159,15,12,10,29
254,1620,最强黑客,顾大石,105,6,11,9,18
255,1621,暗黑无敌,究极BOSS飞,90,11,8,8,19
256,1622,超级融合,曾经拥有的方向感,68,6,3,5,12
257,1623,长安风流,萧玄武,77,11,7,10,11
258,1624,亵渎,烟雨江南,836,18,19,26,75
259,1625,罗浮,无罪,211,17,13,8,21
260,1626,再生传奇,天子,30,3,1,3,38
261,1627,我的老婆是军阀,录事参军,343,11,22,12,29
262,1629,邪气凛然,跳舞,373,16,8,11,32
263,1630,大神医,落地为仙,34,7,1,1,12
264,1631,灵武九天,夜色访者,40,5,2,2,15
265,1632,终极传承,雨辰宇,64,8,5,11,16
266,1636,宋时明月,赤虎,90,6,2,4,10
267,1637,重生之二代富商,小小羽,31,4,5,4,24
268,1638,三国之宅行天下,贱宗首席弟子,283,16,11,6,18
269,1639,大宋权相,吴老狼,66,8,5,3,8
270,1640,极品房东,大头,23,5,2,4,7
271,1641,许仙志,说梦者,828,30,16,22,42
272,1643,凌天传说,风凌天下,246,16,8,10,25
273,1644,盾击,九哼,106,6,2,5,21
274,1645,无尽神功,灵隐狐,36,4,3,4,14
275,1646,异界之绝色锋芒,尸口巾,49,7,6,1,10
276,1649,奸臣,府天,97,5,2,3,11
277,1650,海王祭,骷髅精灵,96,14,7,5,13
278,1652,八零后少林方丈,黑土冒青烟,192,17,10,8,21
279,1655,天劫炼仙录,风檐,47,5,5,4,13
280,1656,寂灭天骄,高楼大厦,133,18,7,5,15
281,1658,刑名师爷,沐轶,88,9,5,8,15
282,1659,紫府仙缘(虛境修仙),百里玺,167,13,8,13,22
283,1660,魔兽剑圣异界纵横,天蚕土豆,284,28,12,17,66
284,1661,明末风暴,圣者晨雷,85,15,3,5,10
285,1666,修真研究生生活录,断桥残雪,63,11,4,3,16
286,1667,掌中星际,钻石雕塑,97,11,3,5,10
287,1668,超级仙医,五志,52,6,3,2,8
288,1669,超级强兵,九月阳光,81,5,3,4,15
289,1670,吞天,妖白菜,96,3,3,5,12
290,1671,超级电能,不怕冷的火焰,44,5,5,6,13
291,1674,寻妖,云无常,63,6,3,3,5
292,1676,帝国从来没有神圣的,诶呦喂,412,60,60,60,62
293,1677,极品账房,天净沙秋思,61,8,2,5,11
294,1679,官路迢迢,Robin谢,30,4,3,2,4
295,1680,神剑永恒,雾外江山,65,5,3,3,2
296,1681,重振大明,路人家,35,8,4,3,15
297,1682,搬山,豆子惹的祸,199,16,5,9,20
298,1683,仙河风暴,快餐店,53,6,8,5,14
299,1686,神策,黯然销魂,42,4,7,1,16
300,1688,武道乾坤,新版红双喜,41,6,6,3,16
301,1689,废土,黑天魔神,234,20,10,11,34
302,1690,紫川,老猪,565,22,16,21,39
303,1692,轮回巅峰,楚仲,23,2,5,2,54
304,1693,天下无双,任怨,97,11,2,7,19
305,1694,碎魂录,池轩,19,4,3,3,11
306,1695,天圣,心梦无痕,36,5,2,4,8
307,1696,超级天赋,相国寺方丈,32,8,3,4,13
308,1700,网游之修罗传说,火星引力,483,16,14,23,42
309,1701,逆脉天骄,飞哥带路,21,3,4,1,24
310,1702,网游之最强房东,黑乎乎的老妖,91,11,2,2,11
311,1703,都市神话,马上将军,58,11,5,4,5
312,1704,恶汉,庚新,213,10,5,7,15
313,1706,篡唐,庚新,114,13,3,0,14
314,1708,地狱公寓,黑色火种,247,13,10,10,21
315,1711,史上最强仙帝,草根,33,3,3,2,21
316,1712,她们说我是剑侠,先飞看刀,155,16,10,9,36
317,1713,大唐盗帅,盗帅二代,59,10,4,9,22
318,1715,仙朝帝师,今夕何夕,48,7,2,4,6
319,1716,我家的剑仙大人,伴读小牧童,175,15,10,10,22
320,1717,青帝,Deathstate,84,11,9,5,7
321,1718,龙蛇演义,梦入神机,545,17,7,11,28
322,1719,回到大明当才子,吴老狼,107,4,4,7,11
323,1720,逍行纪,血红,61,12,4,4,11
324,1722,大汉帝国,殷扬,38,3,3,2,13
325,1726,天下圣道,二水化石,26,5,1,1,7
326,1727,异世邪徒,夏炎炎,27,2,1,1,38
327,1728,兽武乾坤,昨日清风,33,3,2,4,19
328,1729,易鼎,荆柯守,194,15,5,5,12
329,1730,幻神,云天空,82,6,5,5,16
330,1731,都市百草王,我就是龙,21,3,3,3,40
331,1732,张三丰弟子现代生活录,断桥残雪,70,13,5,8,18
332,1733,横行霸道,踏雪真人,76,5,3,7,10
333,1734,噬剑,石老虎,22,6,6,6,12
334,1735,超脑黑客,疯狂小强,98,11,5,10,12
335,1736,大道修行者,归卧故山,80,10,3,2,12
336,1737,帝胄,知白,60,7,6,12,18
337,1738,通神塔,叶梦,30,5,3,1,13
338,1740,升龙道,血红,226,12,10,13,13
339,1750,师士传说,方想,544,27,15,22,21
340,1751,盗梦宗师,国王陛下,201,23,13,7,20
341,1752,异界兽医,油炸包子,153,12,7,10,27
342,1755,唯我独法,志鸟村,83,10,5,5,15
343,1756,都市透视眼,红肠发菜,60,3,4,2,20
344,1759,无限真神,云中游鱼,36,8,6,6,16
345,1760,先志,路书一阁,19,0,3,1,14
346,1763,重生1990,斑马,29,4,2,2,18
347,1770,镇天帝道,渎时,20,2,1,0,6
348,1771,医道天下,酸枣面,26,5,2,3,15
349,1773,花都兽医,五志,40,2,3,2,11
350,1774,近战法师,云天空,81,15,3,10,62
351,1780,戒指也疯狂,四排长,52,5,1,8,15
352,1781,混在三国当军阀,寂寞剑客,146,7,9,8,20
353,1782,求败,乘风御剑,82,11,11,11,11
354,1783,冰火魔厨,唐家三少,174,18,8,17,81
355,1785,红袍法师,雁鱼,86,20,8,4,11
356,1786,尸虐,无物,94,7,5,7,11
357,1787,边戎,阿菩,71,3,3,5,4
358,1788,巡狩大明,神灯,46,2,1,0,6
359,1789,卡徒,方想,734,29,18,18,39
360,1795,巫颂,血红,235,12,11,15,22
361,1796,超级大忽悠,常书欣,195,11,4,7,13
362,1797,超级客栈系统,非风非云,90,8,7,7,13
363,1798,驻马太行侧,寂寞剑客,152,9,3,11,16
364,1799,小兵传奇,玄雨,336,14,12,20,27
365,1804,禁典,键盘的灰,38,8,1,2,7
366,1805,贴身高手,明日复明日,39,2,1,4,10
367,1806,名门,高月,88,4,1,2,13
368,1809,翡翠王,步行天下,36,1,4,7,15
369,1810,飘邈之旅,萧潜,275,12,5,5,12
370,1811,无敌黑拳,大大王,78,9,1,5,3
371,1812,莲花宝鉴,油炸包子,210,14,5,3,17
372,1813,失落的王权,西贝猫,207,11,4,9,24
373,1814,神典,撞破南墙,51,10,2,2,6
374,1819,武田家的明国武士,幸福来敲门,39,6,3,3,53
375,1820,篡清,天使奥斯卡,118,10,6,6,12
376,1821,纨绔才子,墨武,111,4,7,12,16
377,1822,猎网,虾写,124,12,1,6,16
378,1823,骗艳记,屠狗者,100,6,1,3,9
379,1829,一剑凌尘,乘风御剑,60,10,10,10,12
380,1830,奋斗在新明朝,随轻风去,165,7,7,8,18
381,1831,寸芒,我吃西红柿,221,19,6,11,27
382,1832,千夫斩,晴了,51,10,3,2,16
383,1833,都市位面商人,雷老虎4,38,2,3,1,59
384,1834,焚天,流浪的蛤蟆,124,9,6,5,8
385,1835,刺客魔传,撞破南墙,95,5,7,3,21
386,1836,神天空,一品带刀麻雀,25,1,5,3,14
387,1837,雄霸天下,骷髅精灵,100,5,3,7,16
388,1838,春秋小领主,赤虎,81,10,1,2,17
389,1839,网游之永生传奇,一剑临风,80,4,2,6,14
390,1846,荣耀魔徒,油炸包子,32,5,2,1,4
391,1847,无上真身(道尽轮回),乘风御剑,30,10,10,10,12
392,1848,传奇纨绔少爷(穿越之纨绔少爷),贼眉鼠眼,110,12,6,6,18
393,1849,仙人俗世生活录,断桥残雪,42,12,3,2,19
394,1856,覆雨翻云,黄易,172,14,2,12,18
395,1857,修改三国,龙之少帝,42,1,4,3,16
396,1858,兵之枪,峰竹藏云,45,4,0,1,5
397,1859,破灭时空,任怨,67,10,3,3,12
398,1860,仗剑高歌,踏雪真人,47,4,0,3,5
399,1861,疯狂修复,孓无我,36,4,0,2,6
400,1862,地师,徐公子胜治,192,6,9,6,16
401,1863,噬火武道,忆陨,21,2,2,1,4
402,1864,死亡开端,zhttty,134,8,5,7,11
403,1865,降龙伏虎,8难,21,5,3,3,10
404,1866,玩赏天下,十月无涯,14,3,6,4,11
405,1872,与美女老总的暧昧生活,梁不凡,24,4,4,4,6
406,1873,升级专家,暗魔师,36,6,2,1,13
407,1874,苍老的少年,撒冷,29,4,3,4,17
408,1875,惊仙,兰帝魅晨,61,10,10,11,22
409,1876,楚汉争鼎,寂寞剑客,70,9,3,2,12
410,1884,梦幻王,苍天白鹤,48,9,5,4,8
411,1886,斜风,紫钗恨,47,5,2,3,9
412,1887,神职,短刃,40,3,3,5,8
413,1888,灵山,徐公子胜治,221,9,8,11,9
414,1889,大唐寻芳谱,东门吹牛,35,7,3,5,11
415,1890,狩猎花都,我本疯狂,23,3,0,2,6
416,1891,霸帝,系统疯狂哥,26,7,3,6,14
417,1892,入殓师,道门老九,27,1,4,2,8
418,1893,东汉末年立志传,贱宗首席弟子,46,4,1,2,16
419,1897,天枢,徐公子胜治,115,6,6,9,11
420,1898,我的美女大小姐,李兴禹,236,11,7,15,26
421,1899,惟我独仙,唐家三少,124,8,8,16,62
422,1900,重生之辉煌青春,月逸清辉,27,5,4,4,6
423,1901,至尊无赖,跳舞,117,6,4,6,16
424,1902,六道,流浪,26,2,3,2,22
425,1903,武唐第一风流纨绔,黄昏前面,88,5,8,9,13
426,1908,兴宋,赤虎,41,3,1,4,10
427,1909,光绪中华,妖熊,25,2,3,2,103
428,1910,定国,佛婆,32,6,2,5,3
429,1911,逆龙道,血红,85,6,4,6,15
430,1912,吞天,静夜寄思,30,0,2,3,17
431,1913,都市仙医,无影灯的诱惑,25,0,0,2,10
432,1914,我当鸟人的那几年,崔走召,97,2,1,5,6
433,1915,崛起石器时代,咆哮的苹果,31,8,2,2,18
434,1916,帝世纪,陈渐,34,2,5,1,5
435,1917,挟天,躲雨的猫,21,4,2,4,4
