,序列,书名,作者,仙草,粮草,干草,枯草,毒草
0,308,黄金瞳(典当),打眼,339,19,10,21,45
1,1090,龙语兽修,石三,59,4,2,3,8
2,1092,龙魂剑圣,暗夜幽殇,60,8,2,2,6
3,1094,龙域,众生,97,11,5,2,16
4,1097,齐天传,楚阳冬,111,10,10,10,24
5,1098,黑魔法师,贱宗首席弟子,117,10,3,11,18
6,1100,黑暗文明,古羲,270,21,15,10,49
7,1104,黄龙真人异界游,神见,126,11,5,6,24
8,1105,鸿途记,抽刀鱼,84,8,2,1,16
9,1107,黑旗,紫钗恨,78,6,10,5,12
10,1108,黑暗帝国,无境界,67,9,7,5,16
11,1109,魔装,三生蘸酱,105,8,2,2,4
12,1115,魔运苍茫,瑞根,121,12,4,2,8
13,1116,魔王神官和勇者美少女Ⅰ+Ⅱ+Ⅲ,肥面包,762,20,20,22,51
14,1119,魔葫,宝石猫,87,6,3,9,13
15,1134,魔剑录,残月悲梦,67,7,2,3,17
16,1135,魔机传说,铅笔刀,89,10,3,3,11
17,1136,魔兽之最终召唤,Best Man,97,9,5,5,18
18,1137,魔兽多塔之异世风云(多塔界),薛定谔牛(蚕茧里的牛),118,11,5,9,27
19,1138,都市少帅,一起成功,141,7,5,8,53
20,1149,官神(问鼎),何常在,473,24,17,24,44
21,1150,风魔,长风,105,12,18,9,46
22,1152,我的美女老师,黑夜de白羊,341,12,12,20,53
23,1153,仙逆,耳根,2124,78,50,89,171
24,1154,随身带着异形王后,龙青衫,185,15,10,10,39
25,1165,末日蟑螂,伟岸蟑螂,930,28,25,29,82
26,1166,1895淘金国度,简牍,99,13,7,10,26
27,1167,杀手房东俏房客,老施,165,27,6,14,43
28,1168,影城大亨,镔铁,104,11,11,11,33
29,1169,道,食堂包子,208,14,8,17,18
30,1180,财色,叨狼,202,13,7,3,22
31,1181,邪影本纪,邪影,271,14,10,7,24
32,1182,都市雷行,加烟儒相,68,7,5,7,15
33,1184,天生神医,了了一生,136,17,4,0,24
34,1185,神霄煞仙,半块铜板,118,11,7,5,26
35,1194,官居一品,三戒大师,759,30,21,61,43
36,1195,极品太子爷,浮沉,261,19,6,16,39
37,1196,网游之天下无双,失落叶,438,15,20,24,46
38,1197,永生,梦入神机,686,32,28,33,104
39,1198,杀神,逆苍天,511,32,21,27,66
40,1207,斗破苍穹,天蚕土豆,2432,181,178,175,552
41,1208,武逆乾坤,属龙语,122,20,10,10,30
42,1209,圣王,梦入神机,335,27,21,28,44
43,1210,超级兵王,明朝无酒,112,16,6,6,27
44,1211,长生不死,观棋,668,29,17,19,56
45,1218,湛蓝徽章,Deathstate,364,28,11,14,30
46,1219,吞噬星空,我吃西红柿,1786,70,46,73,146
47,1220,刺明,拉丁海十三郎,74,10,5,4,40
48,1221,网游之纵横天下,失落叶,498,19,16,21,42
49,1222,掌权者,一三五七九,106,15,7,11,14
50,1223,江山美人志,瑞根,259,13,13,15,24
51,1224,武神,苍天白鹤,326,12,12,17,34
52,1230,药鼎仙途,寒香寂寞,88,10,4,5,18
53,1231,法相仙途,泛东流,226,12,6,17,21
54,1232,少女契约之书,放开那只女王,331,22,12,12,73
55,1234,1908远东狂人,丹丘,237,29,11,24,28
56,1246,化星,青翼蝠王,77,8,3,2,14
57,1249,功夫神医,步行天下,76,8,8,12,22
58,1250,天才医生,柳下挥,550,16,23,34,45
59,1253,坏蛋是怎样炼成的Ⅰ,六道,259,16,13,14,108
60,1254,坏蛋是怎样炼成的Ⅱ,六道,234,22,10,9,70
61,1255,异界流氓天尊,狂奔的蜗牛,117,10,16,13,70
62,1264,重启家园,九头猫怪,272,16,11,11,43
63,1265,布衣官道,寂寞读南华,244,20,10,21,24
64,1266,君临,开荒,223,20,12,10,32
65,1267,超级黄金手,小小羽,165,8,10,8,18
66,1268,重生之官路商途,更俗,981,51,17,45,76
67,1269,异世邪君,风凌天下,742,43,30,39,63
68,1270,异世药神,暗魔师,111,11,5,6,23
69,1271,满愿石,扎姆卡特,85,7,5,10,13
70,1279,星际游轮,古剑锋,248,14,5,8,16
71,1280,枭臣,更俗,273,20,16,18,28
72,1281,百度宅男当崇祯,云和山的此端,86,10,8,9,38
73,1282,少年药王,逐没,82,8,1,7,24
74,1283,异界职业玩家,涂章溢,94,10,11,12,66
75,1284,万妖之祖,孤独漂流,358,16,14,22,41
76,1292,草清,草上匪,479,16,16,18,24
77,1293,仙戮佛屠,流动的枫叶,56,9,4,0,16
78,1294,权倾一世,晨光路西法,51,5,2,6,62
79,1295,九界独尊,兵心一片,62,3,1,2,15
80,1296,江山美色(极品马贼),墨武,409,16,14,12,40
81,1299,偷天,血红,237,13,11,19,35
82,1300,护花高手在都市,心在流浪,185,8,5,11,31
83,1301,王牌进化,卷土,1026,31,24,43,77
84,1302,冒牌大英雄,七十二编,981,20,12,20,32
85,1304,独占星光,脑袋空空如也,68,6,6,5,33
86,1305,武动乾坤,天蚕土豆,800,57,50,63,159
87,1306,星际判官,古剑锋,135,16,6,12,20
88,1307,网游之金庸奇侠传,云天明,91,9,10,14,62
89,1308,仙鸿路,快餐店,145,13,7,6,26
90,1313,权臣,沙漠,263,12,10,16,20
91,1314,网游之邪龙逆天,火星引力,745,16,16,19,56
92,1315,华山仙门,秣陵别雪,124,11,7,3,14
93,1317,异界魅影逍遥,纯情犀利哥,259,14,11,13,48
94,1318,神魔养殖场,黑瞳王,357,22,15,18,35
95,1319,仙傲,雾外江山,250,18,18,22,13
96,1320,极品神医,江边傩送,52,4,3,4,28
97,1321,鸿蒙教尊,唯易永恒,62,6,5,7,26
98,1322,大周皇族,皇甫奇,402,18,12,20,31
99,1323,邪龙道,血红,153,2,1,5,21
100,1324,锦衣夜行,月关,545,21,21,21,32
101,1325,城堡之心,慎独行,170,9,5,3,25
102,1326,调教太平洋,河马散人,240,10,8,12,26
103,1327,道心种魔,娶猫的老鼠,64,5,4,9,13
104,1337,大魔王,逆苍天,381,18,27,20,41
105,1338,重生之官道,录事参军,960,29,15,36,63
106,1339,修真界败类,跃千愁,394,19,17,19,87
107,1340,异界之光脑威龙,苍天白鹤,175,7,6,7,24
108,1341,末世求生录,不冷的天堂,295,20,12,12,46
109,1342,网游之近战法师,蝴蝶蓝,492,27,10,16,40
110,1343,汉风1276,猫跳,165,14,7,14,18
111,1345,葬明,寒风拂剑,84,4,2,5,21
112,1346,重生之超级富二代,左手,80,5,3,5,97
113,1347,猎国,跳舞,279,14,10,13,28
114,1348,觅仙路,何不语,211,22,9,7,17
115,1349,天下枭雄,高月,299,21,10,20,29
116,1351,庆余年,猫腻,2038,145,145,146,260
117,1358,界皇,傲天无痕,72,8,4,10,16
118,1361,回到三国的特种狙击手,东一方,76,8,1,4,35
119,1362,大唐一品,堕落的狼崽,84,9,10,9,27
120,1363,大宋之风流才子,午后方晴,85,11,5,10,56
121,1364,步步生莲,月关,457,16,15,15,31
122,1365,仙狱,煮酒论咖啡,85,6,0,2,22
123,1366,锦衣当国,特别白,165,12,9,14,28
124,1367,恶魔法则,跳舞,633,33,20,18,63
125,1368,通天大圣,蛇吞鲸,160,13,11,13,30
126,1369,间客,猫腻,1131,35,46,52,76
127,1370,印神无双,李郎憔悴,45,4,3,5,13
128,1371,灵罗戒,夜·水寒,80,5,5,6,18
129,1372,1908大军阀,闽南愚客,98,7,5,8,14
130,1374,独步天下,宅猪,355,18,14,25,35
131,1375,重生之官路浮沉,浮沉,132,12,5,8,16
132,1376,超级水晶,小小米米羊,61,5,3,7,13
133,1377,假面圣徒,么么,49,5,3,2,14
134,1378,回到明朝当王爷,月关,1089,50,31,32,73
135,1379,风驭,懒鸟,102,7,2,8,12
136,1380,气冲星河,犁天,86,6,6,6,12
137,1381,官声,格鱼,106,7,4,12,18
138,1382,九天剑魔,我自我自在,51,3,6,2,12
139,1389,秒杀,萧潜,161,7,7,4,25
140,1390,九阴九阳,娶猫的老鼠,74,7,5,8,26
141,1391,超级医生,叶天南,162,11,3,4,17
142,1392,曹贼,庚新,278,15,7,13,36
143,1393,凤凰面具,蘑菇,85,14,3,5,16
144,1399,朱门风流,府天,187,14,13,11,24
145,1400,横行天下,流氓鱼儿,43,3,3,6,42
146,1401,天下,高月,270,7,8,19,20
147,1403,娇妻如云,上山打老虎额,177,10,10,13,28
148,1410,飞升之后,皇甫奇,535,25,17,24,47
149,1412,诸天十道,黯然销魂,86,6,2,5,15
150,1413,女总裁爱上我(混迹在美女如云公司),天堂羽,173,5,7,5,29
151,1415,三国之蜀汉我做主,三七开,181,14,6,17,18
152,1416,造神,苍天白鹤,94,7,3,9,14
153,1423,战天,苍天白鹤,130,10,6,11,21
154,1424,玩唐,午后方晴,66,2,2,7,15
155,1425,超级盗贼,不是浮云,195,7,3,7,12
156,1426,星海猎人,非主流神棍,92,10,8,10,9
157,1427,混沌雷修,写字板,148,11,7,11,33
158,1434,星际之亡灵帝国,苍天白鹤,219,13,6,10,24
159,1435,超级学生,公子诺,69,5,5,5,111
160,1436,超能全才,翼V龙,78,7,5,4,21
161,1437,调教初唐,晴了,310,18,11,12,35
162,1439,杀破天下,吊脚楼,39,3,3,5,22
163,1440,阳神,梦入神机,478,35,12,19,40
164,1441,虚芒,晋升,46,2,4,2,10
165,1442,都市极品风水师,白马神,75,9,0,5,12
166,1443,官道之色戒,低手寂寞,3603,135,135,135,862
167,1444,不灭剑体,十步行,133,8,9,9,11
168,1453,五行元灵,血友人生,37,3,5,5,30
169,1454,扶摇,断刃天涯,84,9,4,4,16
170,1455,重生之贼行天下,发飙的蜗牛,879,21,12,21,30
171,1456,超级黄金左手,罗晓,67,9,3,5,16
172,1457,盗宋,寒风拂剑,65,7,4,12,12
173,1458,将明,知白,144,13,6,7,18
174,1467,极品家丁,禹岩,658,31,20,19,148
175,1468,夜月血,鱼的天空,254,16,11,9,16
176,1471,超级搜鬼仪,我丑到灵魂深处,111,9,3,5,14
177,1478,琴帝,唐家三少,303,13,8,18,94
178,1479,唯我独尊,小刀锋利,86,13,7,6,19
179,1481,修真世界,方想,632,21,10,21,39
180,1482,九阴九阳之阴阳神功,娶猫的老鼠,48,4,5,7,36
181,1489,网游之战御天下,孤单地飞,195,9,7,5,16
182,1491,明朝好丈夫,上山打老虎额,124,9,14,9,21
183,1496,天才相师,打眼,374,26,7,16,29
184,1497,重修之灭仙弑神,疯颠,57,7,1,4,14
185,1498,焚鼎,欢笙潇宇,42,4,3,4,13
186,1499,红男绿女,常书欣,205,6,6,11,26
187,1500,金庸世界里的道士,萧舒,301,30,23,28,92
188,1503,绿茵锋神,龙们客,31,2,0,1,17
189,1507,冠军教父,林海听涛,212,5,2,9,23
190,1508,拯救大唐MM,霞飞双颊,274,18,16,17,46
191,1509,我是何塞,郭怒,68,4,4,3,19
192,1510,平步青云,御史大夫,50,3,4,3,43
193,1511,无极魔道,逆苍天,317,17,17,20,36
194,1516,灭运图录,爱潜水的乌贼,1350,90,90,91,92
195,1517,命运天盘,水平面,119,13,10,11,15
196,1518,斗罗大陆,唐家三少,1031,59,51,52,212
197,1519,神墓,辰东,1031,26,22,28,77
198,1520,仙王,果核里,60,3,4,4,12
199,1522,仙魔变,无罪,307,23,17,18,27
200,1523,生肖守护神,唐家三少,223,23,6,15,87
201,1528,十方天士,逆苍天,134,15,7,10,24
202,1529,仙道求索,虫豸,221,10,9,10,28
203,1530,邪风曲,血红,250,7,4,13,21
204,1531,权柄,三戒大师,211,13,10,13,24
205,1533,异世药王,独悠,91,11,8,6,23
206,1534,史上第一掌门,冥域天使,181,25,10,11,25
207,1535,武魂,辣椒江,28,5,5,9,41
208,1542,九转混沌诀,飞哥带路,60,3,1,2,41
209,1543,纯阳真仙,EK巧克力,114,6,7,7,18
210,1544,极品天王,我本疯狂,94,6,3,3,22
211,1549,创神,无断,45,5,0,3,3
212,1551,网游之天狗吞日,寡人未婚,102,9,5,9,17
213,1552,最佳导演,机器人瓦力,235,13,2,10,28
214,1558,祸害大清,吴老狼,127,9,5,4,19
215,1559,修真小店,柳旭风,78,7,2,9,15
216,1561,机战皇,沉默的糕点,101,7,11,8,19
217,1562,超级炼丹记,十年残梦,52,6,7,8,22
218,1563,都市之空,李兴禹,95,9,5,8,24
219,1565,重生之霸道人生,隔壁小王,101,3,6,7,18
220,1566,都市之纨绔天才,九月阳光,108,9,8,5,20
221,1567,傲剑凌云,小刀锋利,982,11,11,13,43
222,1568,我的警花老婆,尼姑庵的和尚,47,6,3,10,35
223,1571,小地主,如莲如玉,192,13,9,15,21
224,1572,地球游戏场,吉风冰,254,16,8,15,25
225,1573,兑换狂人,一不小心闪了腰,130,5,6,7,86
226,1576,星辰变,我吃西红柿,548,33,12,20,39
227,1577,玄天邪尊,乌山云雨,93,8,7,5,15
228,1579,萌娘三国演义,三十二变,301,17,7,10,43
229,1580,机动风暴,骷髅精灵,411,26,13,21,41
230,1581,仙绝,石三,92,11,3,4,12
231,1585,兴唐,午后方晴,62,3,2,4,31
232,1587,近身保镖,柳下挥,245,12,6,15,27
233,1588,诡电脑,奥比椰,174,8,3,8,24
234,1593,叱咤风云,高楼大厦,115,3,4,4,12
235,1594,绯闻之王,期待崛起,73,6,2,5,22
236,1595,仙界修仙,莫默,181,15,8,9,32
237,1599,无限恐怖,zhttty,1619,36,24,27,65
238,1600,超级强者,我本疯狂,70,5,2,6,12
239,1601,顺明,特别白,101,11,6,4,12
240,1602,神印王座,唐家三少,347,27,10,22,86
241,1603,长生大帝,二水化石,37,5,5,6,19
242,1604,域绝,笑险,29,2,1,1,12
243,1605,天珠变,唐家三少,304,27,14,18,90
244,1606,混乱战神,撞破南墙,103,5,5,4,16
245,1608,异世龙逍遥,撒加,87,7,5,8,23
246,1609,天生神匠,逐没,76,10,4,4,11
247,1610,狂暴连击,Deathstate,88,7,4,9,15
248,1611,体尊,汉隶,120,8,6,6,19
249,1612,符宝,曾经拥有的方向感,59,14,3,5,21
250,1613,猎天,今夕何夕,52,5,2,2,13
251,1614,星际江湖,罗霸道,99,9,8,7,10
252,1615,异世怪医,紫薇疯爆,48,4,3,4,9
253,1616,重生之心动,初恋璀璨如夏花,1005,30,12,18,59
254,1617,邪神传说,云天空,189,16,12,12,33
255,1620,最强黑客,顾大石,122,6,11,9,20
256,1621,暗黑无敌,究极BOSS飞,112,11,9,9,22
257,1622,超级融合,曾经拥有的方向感,85,8,4,6,13
258,1623,长安风流,萧玄武,92,12,9,13,14
259,1624,亵渎,烟雨江南,995,20,20,33,85
260,1625,罗浮,无罪,243,18,13,8,24
261,1626,再生传奇,天子,38,3,1,4,41
262,1627,我的老婆是军阀,录事参军,410,13,24,17,33
263,1629,邪气凛然,跳舞,449,18,11,13,35
264,1630,大神医,落地为仙,46,7,1,1,13
265,1631,灵武九天,夜色访者,57,5,3,3,19
266,1632,终极传承,雨辰宇,75,8,5,12,16
267,1636,宋时明月,赤虎,109,6,2,4,11
268,1637,重生之二代富商,小小羽,43,4,5,5,29
269,1638,三国之宅行天下,贱宗首席弟子,326,16,11,7,19
270,1639,大宋权相,吴老狼,80,9,5,3,11
271,1640,极品房东,大头,34,6,2,5,7
272,1641,许仙志,说梦者,983,32,17,27,53
273,1643,凌天传说,风凌天下,274,17,10,14,30
274,1644,盾击,九哼,124,6,2,6,23
275,1645,无尽神功,灵隐狐,46,4,3,6,18
276,1646,异界之绝色锋芒,尸口巾,61,7,7,1,11
277,1649,奸臣,府天,108,5,2,4,12
278,1650,海王祭,骷髅精灵,116,14,7,7,15
279,1652,八零后少林方丈,黑土冒青烟,222,17,14,13,25
280,1655,天劫炼仙录,风檐,61,5,5,7,15
281,1656,寂灭天骄,高楼大厦,150,18,7,7,17
282,1658,刑名师爷,沐轶,107,10,7,8,16
283,1659,紫府仙缘(虛境修仙),百里玺,201,14,9,16,27
284,1660,魔兽剑圣异界纵横,天蚕土豆,338,31,20,20,75
285,1661,明末风暴,圣者晨雷,102,15,3,5,10
286,1666,修真研究生生活录,断桥残雪,81,11,5,4,16
287,1667,掌中星际,钻石雕塑,114,14,5,6,12
288,1668,超级仙医,五志,63,6,6,2,10
289,1669,超级强兵,九月阳光,95,5,4,7,16
290,1670,吞天,妖白菜,109,4,3,6,14
291,1671,超级电能,不怕冷的火焰,55,5,6,7,17
292,1674,寻妖,云无常,75,7,4,3,6
293,1676,帝国从来没有神圣的,诶呦喂,502,60,60,61,77
294,1677,极品账房,天净沙秋思,72,9,3,5,12
295,1679,官路迢迢,Robin谢,40,4,3,2,5
296,1680,神剑永恒,雾外江山,79,5,6,6,5
297,1681,重振大明,路人家,43,8,6,3,16
298,1682,搬山,豆子惹的祸,242,19,5,9,24
299,1683,仙河风暴,快餐店,64,7,8,5,16
300,1686,神策,黯然销魂,48,5,7,2,18
301,1688,武道乾坤,新版红双喜,45,6,6,3,19
302,1689,废土,黑天魔神,261,22,11,12,39
303,1690,紫川,老猪,686,23,18,28,42
304,1692,轮回巅峰,楚仲,30,2,5,4,58
305,1693,天下无双,任怨,113,11,3,8,19
306,1694,碎魂录,池轩,25,5,4,3,13
307,1695,天圣,心梦无痕,45,5,4,5,8
308,1696,超级天赋,相国寺方丈,39,10,3,5,16
309,1700,网游之修罗传说,火星引力,578,17,14,24,50
310,1701,逆脉天骄,飞哥带路,29,3,4,1,28
311,1702,网游之最强房东,黑乎乎的老妖,102,11,3,2,12
312,1703,都市神话,马上将军,66,14,5,5,6
313,1704,恶汉,庚新,249,14,5,8,18
314,1706,篡唐,庚新,129,13,3,2,18
315,1708,地狱公寓,黑色火种,312,14,14,11,29
316,1711,史上最强仙帝,草根,40,3,3,4,21
317,1712,她们说我是剑侠,先飞看刀,193,16,11,12,42
318,1713,大唐盗帅,盗帅二代,71,10,4,10,26
319,1715,仙朝帝师,今夕何夕,61,7,2,5,7
320,1716,我家的剑仙大人,伴读小牧童,201,16,12,12,29
